Date : 2023-09-12 09:23:59
Directory : /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src
Total : 128 files,  18641 codes, 196 comments, 761 blanks, all 19598 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     13,774 |          0 |          4 |     13,778 |
| TypeScript JSX     |         68 |      3,439 |         53 |        563 |      4,055 |
| JavaScript         |         23 |        730 |         13 |         23 |        766 |
| TypeScript         |         23 |        603 |         33 |        141 |        777 |
| JSON with Comments |          3 |         33 |         95 |         10 |        138 |
| CSS                |          2 |         24 |          2 |          4 |         30 |
| Markdown           |          1 |         23 |          0 |         16 |         39 |
| Properties         |          1 |         12 |          0 |          0 |         12 |
| XML                |          3 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                           |        128 |     18,641 |        196 |        761 |     19,598 |
| Dashboard                                                                                                                                                                   |        128 |     18,641 |        196 |        761 |     19,598 |
| Dashboard/backend                                                                                                                                                           |         36 |      4,514 |        109 |        109 |      4,732 |
| Dashboard/backend (Files)                                                                                                                                                   |          5 |      3,500 |         93 |         28 |      3,621 |
| Dashboard/backend/config                                                                                                                                                    |          2 |         16 |          0 |          8 |         24 |
| Dashboard/backend/controllers                                                                                                                                               |          2 |        171 |          2 |         23 |        196 |
| Dashboard/backend/dist                                                                                                                                                      |         20 |        711 |         11 |         20 |        742 |
| Dashboard/backend/dist (Files)                                                                                                                                              |          1 |         54 |          3 |          1 |         58 |
| Dashboard/backend/dist/config                                                                                                                                               |          2 |         19 |          0 |          2 |         21 |
| Dashboard/backend/dist/controllers                                                                                                                                          |          6 |        370 |          2 |          6 |        378 |
| Dashboard/backend/dist/controllers (Files)                                                                                                                                  |          5 |        310 |          2 |          5 |        317 |
| Dashboard/backend/dist/controllers/cross                                                                                                                                    |          1 |         60 |          0 |          1 |         61 |
| Dashboard/backend/dist/middleware                                                                                                                                           |          4 |        109 |          3 |          4 |        116 |
| Dashboard/backend/dist/middleware (Files)                                                                                                                                   |          1 |         31 |          0 |          1 |         32 |
| Dashboard/backend/dist/middleware/filesystem                                                                                                                                |          3 |         78 |          3 |          3 |         84 |
| Dashboard/backend/dist/models                                                                                                                                               |          2 |         64 |          0 |          2 |         66 |
| Dashboard/backend/dist/models (Files)                                                                                                                                       |          1 |         29 |          0 |          1 |         30 |
| Dashboard/backend/dist/models/cross                                                                                                                                         |          1 |         35 |          0 |          1 |         36 |
| Dashboard/backend/dist/routes                                                                                                                                               |          3 |         36 |          0 |          3 |         39 |
| Dashboard/backend/dist/routes (Files)                                                                                                                                       |          2 |         34 |          0 |          2 |         36 |
| Dashboard/backend/dist/routes/cross                                                                                                                                         |          1 |          2 |          0 |          1 |          3 |
| Dashboard/backend/dist/utils                                                                                                                                                |          2 |         59 |          3 |          2 |         64 |
| Dashboard/backend/dist/utils (Files)                                                                                                                                        |          1 |         13 |          0 |          1 |         14 |
| Dashboard/backend/dist/utils/server                                                                                                                                         |          1 |         46 |          3 |          1 |         50 |
| Dashboard/backend/middleware                                                                                                                                                |          3 |         55 |          3 |         16 |         74 |
| Dashboard/backend/middleware (Files)                                                                                                                                        |          1 |         25 |          0 |          5 |         30 |
| Dashboard/backend/middleware/filesystem                                                                                                                                     |          2 |         30 |          3 |         11 |         44 |
| Dashboard/backend/models                                                                                                                                                    |          1 |         28 |          0 |          3 |         31 |
| Dashboard/backend/routes                                                                                                                                                    |          2 |         24 |          0 |         10 |         34 |
| Dashboard/backend/utils                                                                                                                                                     |          1 |          9 |          0 |          1 |         10 |
| Dashboard/frontend                                                                                                                                                          |         92 |     14,127 |         87 |        652 |     14,866 |
| Dashboard/frontend/conjuring_escaperoom_dashboard                                                                                                                           |         92 |     14,127 |         87 |        652 |     14,866 |
| Dashboard/frontend/conjuring_escaperoom_dashboard (Files)                                                                                                                   |          8 |     10,398 |          7 |         22 |     10,427 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/public                                                                                                                    |          3 |          3 |          0 |          0 |          3 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src                                                                                                                       |         81 |      3,726 |         80 |        630 |      4,436 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/api                                                                                                                   |          2 |         34 |          0 |          2 |         36 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components                                                                                                            |         59 |      3,242 |         50 |        521 |      3,813 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components (Files)                                                                                                    |          6 |        174 |         35 |         40 |        249 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Button                                                                                                     |          2 |         56 |          0 |         12 |         68 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Card                                                                                                       |          6 |        262 |          4 |         51 |        317 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cross                                                                                                      |         19 |      1,140 |          3 |        189 |      1,332 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cross (Files)                                                                                              |         12 |        778 |          3 |        128 |        909 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cross/sections                                                                                             |          2 |        163 |          0 |         28 |        191 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cross/toolbars                                                                                             |          5 |        199 |          0 |         33 |        232 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Form                                                                                                       |          7 |        484 |          0 |         64 |        548 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Mediaplayer                                                                                                |          4 |        519 |          1 |         57 |        577 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder                                                                                             |          9 |        476 |          4 |         75 |        555 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder (Files)                                                                                     |          1 |         25 |          0 |          6 |         31 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/mediaPlayer                                                                                 |          5 |        243 |          4 |         49 |        296 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal                                                                                      |          3 |        208 |          0 |         20 |        228 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal (Files)                                                                              |          1 |         75 |          0 |          5 |         80 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal/signalFinder                                                                         |          1 |         75 |          0 |          9 |         84 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal/signalMeter                                                                          |          1 |         58 |          0 |          6 |         64 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/TagFinder                                                                                                  |          2 |         40 |          0 |         13 |         53 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/navigation                                                                                                 |          4 |         91 |          3 |         20 |        114 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/configs                                                                                                               |          1 |          5 |          0 |          2 |          7 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/pages                                                                                                                 |         11 |        229 |          5 |         50 |        284 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/pages (Files)                                                                                                         |          9 |        197 |          3 |         42 |        242 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/pages/api                                                                                                             |          2 |         32 |          2 |          8 |         42 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux                                                                                                                 |          5 |        132 |         23 |         36 |        191 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux (Files)                                                                                                         |          1 |         11 |          2 |          5 |         18 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers                                                                                                        |          4 |        121 |         21 |         31 |        173 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/styles                                                                                                                |          2 |         24 |          2 |          4 |         30 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/utils                                                                                                                 |          1 |         60 |          0 |         15 |         75 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                    | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/.env                                                                                        | Properties         |         12 |          0 |          0 |         12 |
| /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/config/cors.ts                                                                              | TypeScript         |         10 |          0 |          4 |         14 |
| /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/config/database.ts                                                                          | TypeScript         |          6 |          0 |          4 |         10 |
| /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/controllers/crossController.ts                                                              | TypeScript         |        106 |          2 |         12 |        120 |
| /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/controllers/goblinFinderController.ts                                                       | TypeScript         |         65 |          0 |         11 |         76 |
| /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/config/cors.js                                                                         | JavaScript         |         11 |          0 |          1 |         12 |
