Date : 2023-09-18 10:18:24
Directory : /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src
Total : 162 files,  28479 codes, 213 comments, 910 blanks, all 29602 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     22,431 |          0 |          4 |     22,435 |
| TypeScript JSX     |         75 |      3,851 |         58 |        636 |      4,545 |
| JavaScript         |         37 |      1,095 |         15 |         37 |      1,147 |
| TypeScript         |         36 |      1,007 |         43 |        203 |      1,253 |
| JSON with Comments |          3 |         33 |         95 |         10 |        138 |
| CSS                |          2 |         24 |          2 |          4 |         30 |
| Markdown           |          1 |         23 |          0 |         16 |         39 |
| Properties         |          1 |         12 |          0 |          0 |         12 |
| XML                |          3 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                           |        162 |     28,479 |        213 |        910 |     29,602 |
| Dashboard                                                                                                                                                                   |        162 |     28,479 |        213 |        910 |     29,602 |
| Dashboard/backend                                                                                                                                                           |         57 |      5,045 |        113 |        157 |      5,315 |
| Dashboard/backend (Files)                                                                                                                                                   |          5 |      3,505 |         93 |         31 |      3,629 |
| Dashboard/backend/config                                                                                                                                                    |          2 |         16 |          0 |          8 |         24 |
| Dashboard/backend/controllers                                                                                                                                               |          2 |        171 |          2 |         23 |        196 |
| Dashboard/backend/dist                                                                                                                                                      |         34 |      1,076 |         13 |         34 |      1,123 |
| Dashboard/backend/dist (Files)                                                                                                                                              |          1 |         59 |          3 |          1 |         63 |
| Dashboard/backend/dist/config                                                                                                                                               |          2 |         19 |          0 |          2 |         21 |
| Dashboard/backend/dist/controllers                                                                                                                                          |          7 |        401 |          2 |          7 |        410 |
| Dashboard/backend/dist/controllers (Files)                                                                                                                                  |          6 |        341 |          2 |          6 |        349 |
| Dashboard/backend/dist/controllers/cross                                                                                                                                    |          1 |         60 |          0 |          1 |         61 |
| Dashboard/backend/dist/middleware                                                                                                                                           |          9 |        288 |          5 |          9 |        302 |
| Dashboard/backend/dist/middleware (Files)                                                                                                                                   |          6 |        210 |          2 |          6 |        218 |
| Dashboard/backend/dist/middleware/filesystem                                                                                                                                |          3 |         78 |          3 |          3 |         84 |
| Dashboard/backend/dist/models                                                                                                                                               |          7 |        155 |          0 |          7 |        162 |
| Dashboard/backend/dist/models (Files)                                                                                                                                       |          6 |        120 |          0 |          6 |        126 |
| Dashboard/backend/dist/models/cross                                                                                                                                         |          1 |         35 |          0 |          1 |         36 |
| Dashboard/backend/dist/routes                                                                                                                                               |          6 |         95 |          0 |          6 |        101 |
| Dashboard/backend/dist/routes (Files)                                                                                                                                       |          5 |         93 |          0 |          5 |         98 |
| Dashboard/backend/dist/routes/cross                                                                                                                                         |          1 |          2 |          0 |          1 |          3 |
| Dashboard/backend/dist/utils                                                                                                                                                |          2 |         59 |          3 |          2 |         64 |
| Dashboard/backend/dist/utils (Files)                                                                                                                                        |          1 |         13 |          0 |          1 |         14 |
| Dashboard/backend/dist/utils/server                                                                                                                                         |          1 |         46 |          3 |          1 |         50 |
| Dashboard/backend/middleware                                                                                                                                                |          6 |        157 |          5 |         34 |        196 |
| Dashboard/backend/middleware (Files)                                                                                                                                        |          4 |        127 |          2 |         23 |        152 |
| Dashboard/backend/middleware/filesystem                                                                                                                                     |          2 |         30 |          3 |         11 |         44 |
| Dashboard/backend/models                                                                                                                                                    |          3 |         55 |          0 |          7 |         62 |
| Dashboard/backend/routes                                                                                                                                                    |          4 |         56 |          0 |         19 |         75 |
| Dashboard/backend/utils                                                                                                                                                     |          1 |          9 |          0 |          1 |         10 |
| Dashboard/frontend                                                                                                                                                          |        105 |     23,434 |        100 |        753 |     24,287 |
| Dashboard/frontend/conjuring_escaperoom_dashboard                                                                                                                           |        105 |     23,434 |        100 |        753 |     24,287 |
| Dashboard/frontend/conjuring_escaperoom_dashboard (Files)                                                                                                                   |          8 |     19,055 |          7 |         22 |     19,084 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/public                                                                                                                    |          3 |          3 |          0 |          0 |          3 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src                                                                                                                       |         94 |      4,376 |         93 |        731 |      5,200 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/api                                                                                                                   |          4 |         73 |          0 |          4 |         77 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components                                                                                                            |         65 |      3,552 |         53 |        583 |      4,188 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components (Files)                                                                                                    |          6 |        174 |         35 |         40 |        249 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Button                                                                                                     |          2 |         56 |          0 |         12 |         68 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Card                                                                                                       |          6 |        262 |          4 |         51 |        317 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cards                                                                                                      |          1 |         36 |          1 |          5 |         42 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cross                                                                                                      |         19 |      1,140 |          3 |        189 |      1,332 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cross (Files)                                                                                              |         12 |        778 |          3 |        128 |        909 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cross/sections                                                                                             |          2 |        163 |          0 |         28 |        191 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Cross/toolbars                                                                                             |          5 |        199 |          0 |         33 |        232 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Form                                                                                                       |          7 |        484 |          0 |         64 |        548 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Forms                                                                                                      |          3 |        180 |          1 |         30 |        211 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Mediaplayer                                                                                                |          4 |        519 |          1 |         57 |        577 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder                                                                                             |         10 |        509 |          5 |         93 |        607 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder (Files)                                                                                     |          1 |         25 |          0 |          6 |         31 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/mediaPlayer                                                                                 |          5 |        262 |          5 |         55 |        322 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal                                                                                      |          4 |        222 |          0 |         32 |        254 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal (Files)                                                                              |          2 |        118 |          0 |         17 |        135 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal/signalFinder                                                                         |          1 |         46 |          0 |          9 |         55 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal/signalMeter                                                                          |          1 |         58 |          0 |          6 |         64 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Tables                                                                                                     |          1 |         56 |          0 |          9 |         65 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/TagFinder                                                                                                  |          2 |         45 |          0 |         13 |         58 |
| Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/navigation                                                                                                 |          4 |         91 |          3 |         20 |        114 |
